salsah-id,salsah-url,dsp-url,dsp-iiif-image-api-info,dsp-iiif-image-api-full,signature,former-number,filename,bemerkungen
429276,https://data.dasch.swiss/resources/429276,https://ark.dasch.swiss/ark:/72163/1/0812/cr_7o0ypTsyPXsVxHFngAAy,https://iiif.dasch.swiss/0812/0AJJGKTjqkv-j2L7Zv8oyZX.jpx/info.json,https://iiif.dasch.swiss/0812/0AJJGKTjqkv-j2L7Zv8oyZX.jpx/full/max/0/default.jpg,SGV_12N_07041,CV 41,sgv.dir/images/SGV_12N_07041.TIF,Bild fehlt auf der Festplatte.
432708,https://data.dasch.swiss/resources/432708,https://ark.dasch.swiss/ark:/72163/1/0812/4cLsHlMlS4CTDbJltzjuoAu,https://iiif.dasch.swiss/0812/26O62MHGGqw-2k8VHOUd7jq.jpx/info.json,https://iiif.dasch.swiss/0812/26O62MHGGqw-2k8VHOUd7jq.jpx/full/max/0/default.jpg,SGV_12N_10473,EE 73,sgv.dir/images/SGV_12N_10473.TIF,Bild fehlt auf der Festplatte.
433705,https://data.dasch.swiss/resources/433705,https://ark.dasch.swiss/ark:/72163/1/0812/7QW4m4J1RPiTXm_dT7veIQx,https://iiif.dasch.swiss/0812/2jxQq45bepF-MEmTFYptev7.jpx/info.json,https://iiif.dasch.swiss/0812/2jxQq45bepF-MEmTFYptev7.jpx/full/max/0/default.jpg,SGV_12N_11470,EP 70,sgv.dir/images/SGV_12N_11470.TIF,Bild fehlt auf der Festplatte.
434763,https://data.dasch.swiss/resources/434763,https://ark.dasch.swiss/ark:/72163/1/0812/=BkZx=SiSHWDWd9Y6hW1UAa,https://iiif.dasch.swiss/0812/0Aj7CpwEOwW-sihyb5kMh0v.jpx/info.json,https://iiif.dasch.swiss/0812/0Aj7CpwEOwW-sihyb5kMh0v.jpx/full/max/0/default.jpg,SGV_12N_12528,FA 28,sgv.dir/images/SGV_12N_12528.TIF,Bild fehlt auf der Festplatte.
434769,https://data.dasch.swiss/resources/434769,https://ark.dasch.swiss/ark:/72163/1/0812/Il9gvaohTFWwBOnDZ5e=1AP,https://iiif.dasch.swiss/0812/4GT5pypPOLz-O3nj0L3jOLI.jpx/info.json,https://iiif.dasch.swiss/0812/4GT5pypPOLz-O3nj0L3jOLI.jpx/full/max/0/default.jpg,SGV_12N_12534,FA 34,sgv.dir/images/SGV_12N_12534.TIF,Bild fehlt auf der Festplatte.
434782,https://data.dasch.swiss/resources/434782,https://ark.dasch.swiss/ark:/72163/1/0812/=mPFt8LXRxaLlcgDOMjnhQv,https://iiif.dasch.swiss/0812/7bEbBePxgXh-2C7Z62JAtWC.jpx/info.json,https://iiif.dasch.swiss/0812/7bEbBePxgXh-2C7Z62JAtWC.jpx/full/max/0/default.jpg,SGV_12N_12547,FA 47,sgv.dir/images/SGV_12N_12547.TIF,Bild fehlt auf der Festplatte.
434783,https://data.dasch.swiss/resources/434783,https://ark.dasch.swiss/ark:/72163/1/0812/kpxWTknaTGaYCkekyEgCyAW,https://iiif.dasch.swiss/0812/1MM2QtB1GKH-kEUBIX1KKnb.jpx/info.json,https://iiif.dasch.swiss/0812/1MM2QtB1GKH-kEUBIX1KKnb.jpx/full/max/0/default.jpg,SGV_12N_12548,FA 48,sgv.dir/images/SGV_12N_12548.TIF,Bild fehlt auf der Festplatte.
435141,https://data.dasch.swiss/resources/435141,https://ark.dasch.swiss/ark:/72163/1/0812/1ohoYbOoRvaI3sOKuqv2UQZ,https://iiif.dasch.swiss/0812/6vtqn4BeSEV-ZTnz1teGdzJ.jpx/info.json,https://iiif.dasch.swiss/0812/6vtqn4BeSEV-ZTnz1teGdzJ.jpx/full/max/0/default.jpg,SGV_12N_12906,FE 6,sgv.dir/images/SGV_12N_12906.TIF,Bild fehlt auf der Festplatte.
435142,https://data.dasch.swiss/resources/435142,https://ark.dasch.swiss/ark:/72163/1/0812/jxDxEeFqQO2li_MXiXOuDwY,https://iiif.dasch.swiss/0812/72y1CNA4QQe-hnewiux3Bjd.jpx/info.json,https://iiif.dasch.swiss/0812/72y1CNA4QQe-hnewiux3Bjd.jpx/full/max/0/default.jpg,SGV_12N_12907,FE 7,sgv.dir/images/SGV_12N_12907.TIF,Bild fehlt auf der Festplatte.
435246,https://data.dasch.swiss/resources/435246,https://ark.dasch.swiss/ark:/72163/1/0812/gkUenpsMTrmlQE2lBcFsmwI,https://iiif.dasch.swiss/0812/5ZlnK9aa5aC-x4DxmTK1Er0.jpx/info.json,https://iiif.dasch.swiss/0812/5ZlnK9aa5aC-x4DxmTK1Er0.jpx/full/max/0/default.jpg,SGV_12N_13011,FF 11,sgv.dir/images/SGV_12N_13011.TIF,Bild fehlt auf der Festplatte.
435251,https://data.dasch.swiss/resources/435251,https://ark.dasch.swiss/ark:/72163/1/0812/We0ylm_BTOS5c1ECFbGR3w_,https://iiif.dasch.swiss/0812/5iZXotY3n7k-Ysvet0fTFda.jpx/info.json,https://iiif.dasch.swiss/0812/5iZXotY3n7k-Ysvet0fTFda.jpx/full/max/0/default.jpg,SGV_12N_13016,FF 16,sgv.dir/images/SGV_12N_13016.TIF,Bild fehlt auf der Festplatte.
435252,https://data.dasch.swiss/resources/435252,https://ark.dasch.swiss/ark:/72163/1/0812/1jI9hMebT_WVI8wmrzLcywh,https://iiif.dasch.swiss/0812/76d2HbHET1j-YRMNH3oo7Ym.jpx/info.json,https://iiif.dasch.swiss/0812/76d2HbHET1j-YRMNH3oo7Ym.jpx/full/max/0/default.jpg,SGV_12N_13017,FF 17,sgv.dir/images/SGV_12N_13017.TIF,Bild fehlt auf der Festplatte.
435253,https://data.dasch.swiss/resources/435253,https://ark.dasch.swiss/ark:/72163/1/0812/cJpcAklIRtKIU7YH4vTDjgl,https://iiif.dasch.swiss/0812/11g5RxcMEl4-Ms6fT6NvQqh.jpx/info.json,https://iiif.dasch.swiss/0812/11g5RxcMEl4-Ms6fT6NvQqh.jpx/full/max/0/default.jpg,SGV_12N_13018,FF 18,sgv.dir/images/SGV_12N_13018.TIF,Bild fehlt auf der Festplatte.
435479,https://data.dasch.swiss/resources/435479,https://ark.dasch.swiss/ark:/72163/1/0812/oPTg1gR1STisHq7aSXp2XQn,https://iiif.dasch.swiss/0812/5WPtQqZl1Qo-ZFjpH6HxxHD.jpx/info.json,https://iiif.dasch.swiss/0812/5WPtQqZl1Qo-ZFjpH6HxxHD.jpx/full/max/0/default.jpg,SGV_12N_13244,FH 44,sgv.dir/images/SGV_12N_13244.tif,Bild fehlt auf der Festplatte.
435636,https://data.dasch.swiss/resources/435636,https://ark.dasch.swiss/ark:/72163/1/0812/3QnuCjQkQDitMfoxD0jKaAs,https://iiif.dasch.swiss/0812/3ZACX3qe9vL-2YpTpknndS6.jpx/info.json,https://iiif.dasch.swiss/0812/3ZACX3qe9vL-2YpTpknndS6.jpx/full/max/0/default.jpg,SGV_12N_13401,FK 1,sgv.dir/images/SGV_12N_13401.TIF,Bild fehlt auf der Festplatte.
435637,https://data.dasch.swiss/resources/435637,https://ark.dasch.swiss/ark:/72163/1/0812/J73BzyMYShWTUZc=ir4pngu,https://iiif.dasch.swiss/0812/0dWDx1awHX0-gaosrOFsspb.jpx/info.json,https://iiif.dasch.swiss/0812/0dWDx1awHX0-gaosrOFsspb.jpx/full/max/0/default.jpg,SGV_12N_13402,FK 2,sgv.dir/images/SGV_12N_13402.TIF,Bild fehlt auf der Festplatte.
435638,https://data.dasch.swiss/resources/435638,https://ark.dasch.swiss/ark:/72163/1/0812/YIb7yKJTQb=lFCBzch5__wq,https://iiif.dasch.swiss/0812/1q09r2kxW3g-hpBsUY0kigS.jpx/info.json,https://iiif.dasch.swiss/0812/1q09r2kxW3g-hpBsUY0kigS.jpx/full/max/0/default.jpg,SGV_12N_13403,FK 3,sgv.dir/images/SGV_12N_13403.TIF,Bild fehlt auf der Festplatte.
435639,https://data.dasch.swiss/resources/435639,https://ark.dasch.swiss/ark:/72163/1/0812/5c_mExf6R==ch_0RCND8twR,https://iiif.dasch.swiss/0812/42hpA9Sv7do-bPiDA83IvF5.jpx/info.json,https://iiif.dasch.swiss/0812/42hpA9Sv7do-bPiDA83IvF5.jpx/full/max/0/default.jpg,SGV_12N_13404,FK 4,sgv.dir/images/SGV_12N_13404.TIF,Bild fehlt auf der Festplatte.
435640,https://data.dasch.swiss/resources/435640,https://ark.dasch.swiss/ark:/72163/1/0812/mC7mVaerRfuwoz3r5PnNkA6,https://iiif.dasch.swiss/0812/3kLSBIofERM-jJA11ZEvfZO.jpx/info.json,https://iiif.dasch.swiss/0812/3kLSBIofERM-jJA11ZEvfZO.jpx/full/max/0/default.jpg,SGV_12N_13405,FK 5,sgv.dir/images/SGV_12N_13405.TIF,Bild fehlt auf der Festplatte.
435641,https://data.dasch.swiss/resources/435641,https://ark.dasch.swiss/ark:/72163/1/0812/kxkjkSnSSWuOV0wUdaAJWgr,https://iiif.dasch.swiss/0812/4fdmJW7tFIG-wXvA1RgXvW9.jpx/info.json,https://iiif.dasch.swiss/0812/4fdmJW7tFIG-wXvA1RgXvW9.jpx/full/max/0/default.jpg,SGV_12N_13406,FK 6,sgv.dir/images/SGV_12N_13406.TIF,Bild fehlt auf der Festplatte.
435642,https://data.dasch.swiss/resources/435642,https://ark.dasch.swiss/ark:/72163/1/0812/eITmaF9uRlqeAgrLXC2KAgV,https://iiif.dasch.swiss/0812/1ZU8BDwEdND-KbEDr4VxZnz.jpx/info.json,https://iiif.dasch.swiss/0812/1ZU8BDwEdND-KbEDr4VxZnz.jpx/full/max/0/default.jpg,SGV_12N_13407,FK 7,sgv.dir/images/SGV_12N_13407.TIF,Bild fehlt auf der Festplatte.
435643,https://data.dasch.swiss/resources/435643,https://ark.dasch.swiss/ark:/72163/1/0812/Ql5BbPXiQ4uRHm_hruMP9gR,https://iiif.dasch.swiss/0812/1WeTyC72bvp-oqvw2pmUgQy.jpx/info.json,https://iiif.dasch.swiss/0812/1WeTyC72bvp-oqvw2pmUgQy.jpx/full/max/0/default.jpg,SGV_12N_13408,FK 8,sgv.dir/images/SGV_12N_13408.TIF,Bild fehlt auf der Festplatte.
435644,https://data.dasch.swiss/resources/435644,https://ark.dasch.swiss/ark:/72163/1/0812/sNP=Wj3FTzixDBqpONpMuQb,https://iiif.dasch.swiss/0812/5LFYA8wJibt-Bdbu9gjx3bh.jpx/info.json,https://iiif.dasch.swiss/0812/5LFYA8wJibt-Bdbu9gjx3bh.jpx/full/max/0/default.jpg,SGV_12N_13409,FK 9,sgv.dir/images/SGV_12N_13409.TIF,Bild fehlt auf der Festplatte.
435645,https://data.dasch.swiss/resources/435645,https://ark.dasch.swiss/ark:/72163/1/0812/wfhrOVRiRpKjgCmdqxnyKwG,https://iiif.dasch.swiss/0812/0HYLuwy5PBz-LGwb3mW7iE2.jpx/info.json,https://iiif.dasch.swiss/0812/0HYLuwy5PBz-LGwb3mW7iE2.jpx/full/max/0/default.jpg,SGV_12N_13410,FK 10,sgv.dir/images/SGV_12N_13410.TIF,Bild fehlt auf der Festplatte.
435646,https://data.dasch.swiss/resources/435646,https://ark.dasch.swiss/ark:/72163/1/0812/BddNgRskTOmLBEJ=2Ju4uQh,https://iiif.dasch.swiss/0812/5vRAL57K7Qw-9Dw9S82BO5y.jpx/info.json,https://iiif.dasch.swiss/0812/5vRAL57K7Qw-9Dw9S82BO5y.jpx/full/max/0/default.jpg,SGV_12N_13411,FK 11,sgv.dir/images/SGV_12N_13411.TIF,Bild fehlt auf der Festplatte.
435647,https://data.dasch.swiss/resources/435647,https://ark.dasch.swiss/ark:/72163/1/0812/5wqT4nARQkWmw_h6tuXboAq,https://iiif.dasch.swiss/0812/5Fh9sDOqF8R-faVhe3t8Cfl.jpx/info.json,https://iiif.dasch.swiss/0812/5Fh9sDOqF8R-faVhe3t8Cfl.jpx/full/max/0/default.jpg,SGV_12N_13412,FK 12,sgv.dir/images/SGV_12N_13412.TIF,Bild fehlt auf der Festplatte.
435648,https://data.dasch.swiss/resources/435648,https://ark.dasch.swiss/ark:/72163/1/0812/AFIdpZAET96jDVVYGvP5lQe,https://iiif.dasch.swiss/0812/1dPL5Zr2pHr-vjkuSFmRXWX.jpx/info.json,https://iiif.dasch.swiss/0812/1dPL5Zr2pHr-vjkuSFmRXWX.jpx/full/max/0/default.jpg,SGV_12N_13413,FK 13,sgv.dir/images/SGV_12N_13413.TIF,Bild fehlt auf der Festplatte.
435649,https://data.dasch.swiss/resources/435649,https://ark.dasch.swiss/ark:/72163/1/0812/iEEa3NqTRlCx3fsKnYpPgQB,https://iiif.dasch.swiss/0812/0jctarP89ra-mJXEZs1q4DR.jpx/info.json,https://iiif.dasch.swiss/0812/0jctarP89ra-mJXEZs1q4DR.jpx/full/max/0/default.jpg,SGV_12N_13414,FK 14,sgv.dir/images/SGV_12N_13414.TIF,Bild fehlt auf der Festplatte.
435650,https://data.dasch.swiss/resources/435650,https://ark.dasch.swiss/ark:/72163/1/0812/8eSOHq_kS56xXlExgIwR9AO,https://iiif.dasch.swiss/0812/6D5sDQSoKzO-hjRnah7vTpu.jpx/info.json,https://iiif.dasch.swiss/0812/6D5sDQSoKzO-hjRnah7vTpu.jpx/full/max/0/default.jpg,SGV_12N_13415,FK 15,sgv.dir/images/SGV_12N_13415.TIF,Bild fehlt auf der Festplatte.
