id,label,birthplace_old,date,daterange_0,daterange_1,deathplace_old,description_rt,family,geoname,gnid,job,job_0,job_1,job_2,job_3,job_4,lat,literature,literature_0,literature_1,literature_10,literature_11,literature_12,literature_13,literature_14,literature_15,literature_16,literature_17,literature_18,literature_19,literature_2,literature_20,literature_21,literature_22,literature_23,literature_24,literature_25,literature_26,literature_27,literature_28,literature_29,literature_3,literature_4,literature_5,literature_6,literature_7,literature_8,literature_9,lng,name,name_0,name_1,name_2,name_3,name_4,name_5,name_6,name_7,name_8,name_9,salsah_comment,salsah_comment_0,salsah_comment_1,salsah_comment_10,salsah_comment_11,salsah_comment_12,salsah_comment_13,salsah_comment_14,salsah_comment_15,salsah_comment_16,salsah_comment_17,salsah_comment_18,salsah_comment_19,salsah_comment_2,salsah_comment_20,salsah_comment_3,salsah_comment_4,salsah_comment_5,salsah_comment_6,salsah_comment_7,salsah_comment_8,salsah_comment_9
2135873,"König, Hans August",,1967-07-01,,,,"<span gaga={}><p>""Berufslehre als Fotograf bei Jean Kölla in Thun. Wanderjahre. Arbeit als Kopierer für Camille Ruf in Basel. Aufenthalt in Deutschland und Österreich. Anstellung bei Jakob Deppler in Solothurn. Rückkehr nach Thun, wo er das Fotogeschäft von Jean Kölla mieten konnte. Da ihm die Mittel fehlten, Haus und Geschäft zu kaufen, kehrte er 1915 nach Solothurn zurück und eröffnete 1917 ein eigenes Fotogeschäft. Vater der Fotografen Hermann König und Hans König."" (<a href=""http://www.fotostiftung.ch/de/nc/archive-spezialsammlungen/index-der-fotografinnen/fotografin/cumulus/1983/K/show/"">Fotostiftung Schweiz</a>)</p></span<p></p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"König, Hans August","König, Hans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
695165,"Hunziker, Roy-Hermann",,1992,,,,"<p>Roy-Hermann Hunziker ist 1911 in Paterson, USA, geboren. Er ist das zweite Kind von <a class=""salsah-link"" href=""IRI:629935:IRI"">Rosa</a> und <a class=""salsah-link"" href=""IRI:694860:IRI"">Julius Hunziker-Frey</a>. Aus den Alben der Sammlung Olga Frey lässt sich schliessen, dass Roy-Hermann Hunziker erfolgreicher Skifahrer war. Ab 1957 arbeitete er in diversen Schweizer Botschaften als Diplomat. (Siehe <a href=""http://db.dodis.ch/people/142"">dodis.ch</a>)</p>",,Paterson,http://sws.geonames.org/5102466,Diplomat,,,,,,40.91677,Diplomatische Dokumente der Schweiz. URL:  http://db.dodis.ch/people/142 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.17181,,"Hunziker, Roy-Hermann","Hunziker, Roy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2140960,"Weizinger, Robert",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Weizinger, Robert",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2140958,"Rohland, Rudolf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rohland, Rudolf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624956,"Parkinson, Richard",,1909-07-24,,,,"<span gaga={}><p>""Richard Parkinson war ein deutscher Südseeforscher und </p></span<p>Kolonist<span gaga={}>. Er ging 1875 als Vertreter des Hamburger Handelshauses </spanJ.C. Godeffroy & Sohn<span gaga={}> nach </spanSamoa<span gaga={}>, wo er bis 1882 blieb, um sich anschließend auf der </spanGazelle-Halbinsel<span gaga={}> in Neu-Pommern (</spanNeubritannien<span gaga={}>) anzusiedeln. Von dort aus unternahm er größere und kleinere Reisen durch das </spanBismarck-Archipel<span gaga={}>, zu den </spanSalomon-Inseln<span gaga={}> und nach </spanNeuguinea<span gaga={}>, die Teile der </spandeutschen Kolonie<span gaga={}> </spanDeutsch-Neuguinea<span gaga={}> waren."" (<a href=""https://de.wikipedia.org/wiki/Richard_Parkinson"">Wikipedia</a>)</span</p>",,Augustenborg,http://sws.geonames.org/2624439,,,,,,,54.95201,"Uni Frankfurt, Bildarchiv. URL: http://www.ub.bildarchiv-dkg.uni-frankfurt.de/Bildprojekt/Lexikon/php/suche_db.php?suchname=Parkinson",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.87216,"Parkinson, Richard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2138314,Klaebe,,,,,,"<p>Klaebe wird in Zusammenhang mit der Sammlung <a class=""salsah-link"" href=""IRI:344303:IRI"">Heinrich Surbeck</a> erwähnt.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Klaebe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2140962,"Schildknecht, August",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Schildknecht, August",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2140964,"Christ, Alfred",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Christ, Alfred",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2140966,"Wächter, Charles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wächter, Charles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2140347,"Wirz, Christoph",,,,,,,,Sissach,http://sws.geonames.org/2658572,,,,,,,47.46408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.80888,"Wirz, Christoph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
