id,label,date,daterange_0,daterange_1,salsah_comment_rt,signature,title
2544268,SGV_13D_01,,1975,1976,,SGV_13D_01,Unseri Suubermänner
2544269,SGV_13D_02,,1979,1980,,SGV_13D_02,"Pulverfabrik Wimmis ""Wimmis forscht"""
2544270,SGV_13D_03,,1980,1981,,SGV_13D_03,"Pulverfabrik Wimmis ""Von Schwarz bis Wimmis"""
2544272,SGV_13D_04,1978,,,,SGV_13D_04,"Munitionsfabrik Altdorf ""Um uns die Berge"""
2544273,SGV_13D_05,1979,,,,SGV_13D_05,"Vom Fisch zum Feuer (Munitionsfabrik Thun), 1/3: Munitionsfabrik Thun (MT)"
2544274,SGV_13D_06,,1980,1981,,SGV_13D_06,Die Wirklichkeit sieht anders aus (Munitionsfabrik Thun) 
2544276,SGV_13D_07,,1981,1982,,SGV_13D_07,Die Problemlöser  (Munitionsfabrik Thun)
2544277,SGV_13D_08,1982,,,,SGV_13D_08,"Konstruktionswerkstätte Thun ""Schutz und Verteidigung"" "
2544278,SGV_13D_09,1985,,,,SGV_13D_09,"Flugzeugwerk Emmen: Planen, Bauen, Fliegen"
2544279,SGV_13D_10,1983,,,,SGV_13D_10,Sicherheit Inbegriffen: Gruppe für Rüstungsdienst (GRD)   
2544281,SGV_13D_11,1987,,,,SGV_13D_11,"Schweizische Gesellschaft für Logistik (SGL) ""Die Gabel als Beruf"" "
2544282,SGV_13D_12,1976,,,,SGV_13D_12,Unsere andere Stadt (Personalamt Basel-Stadt)
2544283,SGV_13D_13,1978,,,,SGV_13D_13,Unsern Kindern gewidmet
2544284,SGV_13D_14,1985,,,,SGV_13D_14,Unseri Finänzler
2544285,SGV_13D_15,1984,,,,SGV_13D_15,Auch der Kranich hilft (PUK = Psychiatrische Universitätsklinik) 
2544286,SGV_13D_16,1984,,,,SGV_13D_16,Fisch in Schwarz (Buchdruckerei Gassmann in Biel) 
2544287,SGV_13D_17,1984,,,,SGV_13D_17,Wassermänner   
2544288,SGV_13D_18,1984,,,,SGV_13D_18,Penny Black und Matterhorn
2544289,SGV_13D_19,1981,,,,SGV_13D_19,Berühmte Basler (Personalamt Basel-Stadt)
2544290,SGV_13D_20,1985,,,,SGV_13D_20,Banki und der Blumenstrauss. (Vorschlagswesen der Schweizerische Bankgesellschaft)   
2544291,SGV_13D_21,,1978,1979,,SGV_13D_21,SUVA: Ihre Partnerin
2544292,SGV_13D_22,1982,,,,SGV_13D_22,PTT: Feldpost Moral gut 
2544293,SGV_13D_23,1980,,,,SGV_13D_23,PTT: Schwachheit dein Name ist Ei
2544294,SGV_13D_24,1981,,,,SGV_13D_24,PTT: Sicherheit und noch viel mehr
2544295,SGV_13D_25,1980,,,,SGV_13D_25,Zwölf Hundert für sie (PTT: Basel 2)
2544296,SGV_13D_26,,1986,1987,,SGV_13D_26, Schweizerischer Bankverein: Flug in die Zukunft
2630795,SGV_13D_17,1984,,,"<p>Die vom Personalamt Basel Stadt in Auftrag gegebene Tonbildschau besteht aus 160 Farbdias (35mm), die das Thema ""Wasser"" von der Quelle bis zum gereinigten Abwasser dokumentiert.</p>",SGV_13D_17,Wssermänner
