id, signature, date
422236,SGV_12N_00001,GREGORIAN:CE:1937
422237,SGV_12N_00002,GREGORIAN:CE:1937
422238,SGV_12N_00003,GREGORIAN:CE:1937
422239,SGV_12N_00004,GREGORIAN:CE:1937
422240,SGV_12N_00005,GREGORIAN:CE:1937
422241,SGV_12N_00006,GREGORIAN:CE:1937
422242,SGV_12N_00007,GREGORIAN:CE:1937
422243,SGV_12N_00008,GREGORIAN:CE:1937
422244,SGV_12N_00009,GREGORIAN:CE:1937
422245,SGV_12N_00010,
422246,SGV_12N_00011,GREGORIAN:CE:1937
422247,SGV_12N_00012,GREGORIAN:CE:1937
422248,SGV_12N_00013,GREGORIAN:CE:1937
422249,SGV_12N_00014,
422250,SGV_12N_00015,
422251,SGV_12N_00016,GREGORIAN:CE:1937:CE:1942
422252,SGV_12N_00017,
422253,SGV_12N_00018,
422254,SGV_12N_00019,
422255,SGV_12N_00020,
422256,SGV_12N_00021,GREGORIAN:CE:1937:CE:1942
422257,SGV_12N_00022,
422258,SGV_12N_00023,
422259,SGV_12N_00024,
422260,SGV_12N_00025,
422261,SGV_12N_00026,
422262,SGV_12N_00027,
422263,SGV_12N_00028,
422264,SGV_12N_00029,
422265,SGV_12N_00030,
422266,SGV_12N_00031,
422267,SGV_12N_00032,
422268,SGV_12N_00033,
422269,SGV_12N_00034,
422270,SGV_12N_00035,
422271,SGV_12N_00036,GREGORIAN:CE:1937:CE:1942
422272,SGV_12N_00037,GREGORIAN:CE:1937:CE:1942
422273,SGV_12N_00038,GREGORIAN:CE:1937:CE:1942
422274,SGV_12N_00039,GREGORIAN:CE:1937:CE:1942
422275,SGV_12N_00040,GREGORIAN:CE:1937:CE:1942
422276,SGV_12N_00041,
422277,SGV_12N_00042,
422278,SGV_12N_00043,GREGORIAN:CE:1937:CE:1942
422279,SGV_12N_00044,
422280,SGV_12N_00045,
422281,SGV_12N_00046,
422282,SGV_12N_00047,
422283,SGV_12N_00048,
422284,SGV_12N_00049,
422285,SGV_12N_00050,
422286,SGV_12N_00051,
422287,SGV_12N_00052,
422288,SGV_12N_00053,
422289,SGV_12N_00054,
422290,SGV_12N_00055,
422291,SGV_12N_00056,
422292,SGV_12N_00057,
422293,SGV_12N_00058,
422294,SGV_12N_00059,
422295,SGV_12N_00060,
422296,SGV_12N_00061,
422297,SGV_12N_00062,
