_id,signature,title,person,date,daterange/start,daterange/end,geoname-prop/geoname,in_collection,oldnr,model,format,tag/property/0/_index_0,tag/property/1/_index_1,tag/property/2/_index_2,tag/property/3/_index_3,tag/property/4/_index_4,tag/property/5/_index_5,tag/property/6/_index_6,salsah_comment,salsah_comment/property/0/_index_0,salsah_comment/property/1/_index_1,salsah_comment/property/2/_index_2,salsah_comment/property/3/_index_3,copyright
422236,SGV_12N_00001,[Schwyzer Fasnacht],"Brunner, Ernst",1937,,,1331,SGV_12,AA 1,schwarz/weiss,6 x 6 cm,Fasnacht,Greiflet,Brauch,Kind,Winter,Schnee,Tabakspfeife,,Auf der Negativhülle (Pergamin) befindet sich folgende Notiz: Schwyz SZ *Greufler 1937,Auf der Negativhülle (Pergamin) befindet sich oben in der Mitte ein roter Punkt. ,Auf der Negativhülle (Pergamin) befindet sich folgender Stempel: B ,,Schweizerische Gesellschaft für Volkskunde (SGV)
422237,SGV_12N_00002,[Schwyzer Fasnacht],"Brunner, Ernst",1937,,,1331,SGV_12,AA 2,schwarz/weiss,6 x 6 cm,Fasnacht,Greiflet,Brauch,,,,,Auf der Negativhülle (Pergamin) befindet sich folgende Notiz: Schwyz SZ Greufler 1937,,,,,Schweizerische Gesellschaft für Volkskunde (SGV)
422238,SGV_12N_00003,[Schwyzer Fasnacht],"Brunner, Ernst",1937,,,1331,SGV_12,AA 3,schwarz/weiss,6 x 6 cm,Fasnacht,Greiflet,Frau,Schnee,,,,Auf der Negativhülle (Pergamin) befindet sich folgende Notiz: Schwyz SZ * Greufler * 1937,,,,,Schweizerische Gesellschaft für Volkskunde (SGV)
422239,SGV_12N_00004,[Schwyzer Fasnacht],"Brunner, Ernst",1937,,,1331,SGV_12,AA 4,schwarz/weiss,6 x 6 cm,Fasnacht,Greiflet,Brauch,,,,,Auf der Negativhülle (Pergamin) befindet sich folgende Notiz: Schwyz SZ * Greufler * 1937,,,,,Schweizerische Gesellschaft für Volkskunde (SGV)
422240,SGV_12N_00005,[Schwyzer Fasnacht],"Brunner, Ernst",1937,,,1331,SGV_12,AA 5,schwarz/weiss,6 x 6 cm,Fasnacht,Greiflet,Kind,Schnee,Brauch,Trommel,Schnee,Auf der Negativhülle (Pergamin) befindet sich folgende Notiz: Schwyz SZ * Greufler * 1937,,,,,Schweizerische Gesellschaft für Volkskunde (SGV)
422241,SGV_12N_00006,[Schwyzer Fasnacht],"Brunner, Ernst",1937,,,1331,SGV_12,AA 6,schwarz/weiss,6 x 6 cm,Fasnacht,Greiflet,Mann,Schnee,Fahrrad,,,,Auf der Negativhülle (Pergamin) befindet sich folgende Notiz: Schwyz SZ * Greufler * 1937,Auf der Negativhülle (Pergamin) befindet sich oben in der Mitte ein roter Punkt. ,,,Schweizerische Gesellschaft für Volkskunde (SGV)
422242,SGV_12N_00007,[Schwyzer Fasnacht],"Brunner, Ernst",1937,,,1331,SGV_12,AA 7,schwarz/weiss,6 x 6 cm,Fasnacht,Greiflet,Brauch,Schnee,Winter,,,Auf der Negativhülle (Pergamin) befindet sich folgende Notiz: Schwyz SZ * Greufler * 1937,,,,,Schweizerische Gesellschaft für Volkskunde (SGV)
422243,SGV_12N_00008,[Schwyzer Fasnacht],"Brunner, Ernst",1937,,,1331,SGV_12,AA 8,schwarz/weiss,6 x 6 cm,Fasnacht,Greiflet,Brauch,Trommel,Maske,,,Auf der Negativhülle (Pergamin) befindet sich folgende Notiz: Schwyz SZ * Greufler * 1937,,,,,Schweizerische Gesellschaft für Volkskunde (SGV)
422244,SGV_12N_00009,[Schwyzer Fasnacht],"Brunner, Ernst",1937,,,1331,SGV_12,AA 9,schwarz/weiss,6 x 6 cm,Fasnacht,Greiflet,Brauch,,,,,Auf der Negativhülle (Pergamin) befindet sich folgende Notiz: Schwyz SZ * Greufler * 1937,,,,,Schweizerische Gesellschaft für Volkskunde (SGV)
422245,SGV_12N_00010,Wachholderwurzeln,"Brunner, Ernst",,,,1950,SGV_12,AA 10,schwarz/weiss,6 x 6 cm,Wurzel,Hutte,Transport,Mann,Gehstock,Wacholder,,,Auf der Negativhülle (Pergamin) befindet sich folgender Stempel: B ,Auf der Negativhülle (Pergamin) befindet sich folgende Notiz: Tessin TI Wachholderwurzeln  CORTICIASCA 6951 -,Auf der Negativhülle (Pergamin) befindet sich oben rechts ein roter Punkt.,Das Bild ist der folgenden Kategorie zugeordnet: Land und Volk,Schweizerische Gesellschaft für Volkskunde (SGV)
